source,target
Oportunidad,p1
Oportunidad,p2
Oportunidad,p3
Confiabilidad,p4
Confiabilidad,p5
Confiabilidad,p6
Honestidad,p7
Honestidad,p9
Amabilidad,p10
Amabilidad,p11
Amabilidad,p12
Satisfaccion,p13
Satisfaccion,p14
Satisfaccion,p15
Precio,p16
Precio,p17
Precio,p18
Reputacion,p19
Reputacion,p20
Reputacion,p21
Reputacion,p22
Confianza,p28
Confianza,p29
